"electorate","constituency_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","candidate_gender","party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number","preliminary_winner","final_winner","past_winners","prelim_winner_2010","final_winner_2010","past_winners_matched_to_2010_codes","final_winner_2005","past_winners_matched_to_2005_codes"
"General","G-01","1-1573-1089",346,"Dr. Aslam Khan Mirdadi","داکتر اسلم خان میر دادی","داکتر اسلم خان میر دادی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1035-6",347,"Malek Sayed Aqa Hussainkhel","ملک سیداقاحسین خیل","ملک سیداقاحسین خیل","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1671-129",348,"Alhaj Zemarai Naseri","الحاج زمری ناصری","الحاج زمری ناصری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1785-130",349,"Dr. Ziauddin Kamal ","داکتر ضیأالدین کمال ","داکتر ضیأالدین کمال ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1376-1203",350,"Qudsia Alokozai","قدسیه الکوزی ","قدسیه الکوزی ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1646-1028",351,"Mohammad Salem Ahmadzai","محمد سالم احمدزی","محمد سالم احمدزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1082-84",353,"Abdal Amin Haqjo","عبدال امین حقجو","عبدال امین حقجو","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1209-19",354,"Haji Hafizullah Jalili","حاجی حفیظ الله جلیلی","حاجی حفیظ الله جلیلی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1449-128",355,"Mohammad Younus Wayar","محمد یونس ویاړ","محمد یونس ویاړ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1047-74",356,"Zainab Mowahid","زینب موحد","زینب موحد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1016-168",357,"Ghullam Farooq Mojadidi","غلام فاروق مجددی","غلام فاروق مجددی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1398-9",358,"Mohammad Baqer Mohaqeq","محمد باقر محقق","محمد باقر محقق","M","حزب وحدت اسالمی مردم افغانستان","Hezb-e Wahdat Islami Mardum-e Afghanistan","Islamic Unity Party of Afghanistan","22","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1844-1193",359,"Mirwais Ansar Mangal","میرویس انصار منگل","میرویس انصار منگل","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1366-1212",360,"Sayed Abdullah Sadat","سید عبدالله سادات ","سید عبدالله سادات ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1810-79",361,"Mariam Sediqa Sadat","مریم صدیقه سادات","مریم صدیقه سادات","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1637-35",362,"Abdul Qader Zazai Watandost","عبدالقادر ځاځی وطندوست","عبدالقادر ځاځی وطندوست","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1559-141",363,"Abdul Hadi Osmani","عبدالهادی عثمانی","عبدالهادی عثمانی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1238-1076",364,"Mohammad Malek Sabr","محمد ملک صبر","محمد ملک صبر","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1700-93",365,"Haji Taza khan Zurmati","حاجی تازه خان زرمتی","حاجی تازه خان زرمتی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1729-1043",366,"Abdul Hadi Miran","عبدالهادی میران ","عبدالهادی میران ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1877-1097",367,"Eng. Abdul Satar Azizi","انجنیر عبدالستار عزیزی","انجنیر عبدالستار عزیزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1019-41",368,"Ahmad Reza Noori","احمد رضآ نوری","احمد رضآ نوری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1699-12",369,"Naqibullah Faizi","نقیب الله فیضی","نقیب الله فیضی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1131-1024",370,"Najibullah Haidari","نجیب الله حیدری","نجیب الله حیدری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1195-10",371,"Ahmad Farid Mehrabi","احمد فرید محرابی","احمد فرید محرابی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1513-1034",372,"Mirza Mohammad Yarmand","میرزا محمد یارمند ","میرزا محمد یارمند ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1379-1098",373,"Abdul Razaq Hakimi","عبداالرزاق  حکیمی ","عبداالرزاق  حکیمی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1499-3071",374,"Haji Hamesha Gull Chakari"," حاجی همیشه گل  چکری"," حاجی همیشه گل  چکری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1818-141",375,"Mariam Sama","مریم سما ","مریم سما ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1006-83",376,"Ghullam Ali Wahdat","غلام علی وحدت ","غلام علی وحدت ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1686-124",377,"Mursal Nabizada","مرسل نبی زاده","مرسل نبی زاده","F","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1564-34",378,"Haji Zadran Azizi","حاجی ځدران عزیزی","حاجی ځدران عزیزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1866-155",379,"Mohammad Belal Hakimi","محمد بلال حکیمی ","محمد بلال حکیمی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1760-162",380,"Dr. Faridullah sefat","داکتر فرید الله صفت ","داکتر فرید الله صفت ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1597-1209",381,"Mohammad Yahya Wayar Ahmadzai","محمد یحی ویاړ احمدزی","محمد یحی ویاړ احمدزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1467-1015",382,"Eid Mohammad Maleyar","عید محمد ملیار","عید محمد ملیار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1650-89",383,"Mohammad Nazir Hafizi","محمد نظیر حفیظی","محمد نظیر حفیظی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1186-37",384,"Haji Ajmal Rahmani","حاجی اجمل رحمانی","حاجی اجمل رحمانی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1813-172",385,"Asal Mohammad Shakeri Badakhshani","عسل محمد شاکری بدخشانی","عسل محمد شاکری بدخشانی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1563-31",386,"Najibullah Momand Kamawal","نجیب الله مومند کاموال","نجیب الله مومند کاموال","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1881-163",387,"Sayed Ahmad Shekeb Montazeri","سید احمد شکیب منتظری","سید احمد شکیب منتظری","M","نهضت ملی گرایی افغانستان","Nahzat-e Milli Garayee Afghanistan","The Afghanistan National Movement Party","72","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1897-183",388,"Ghullam Fardin Shaaba","غلام فردین شابه ","غلام فردین شابه ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1435-57",389,"saifurahman Gharwal","سیف الرحمن غروال","سیف الرحمن غروال","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1670-1054",390,"Sayed Kamal Zazai","سید کمال ځاځی","سید کمال ځاځی","M","حزب اسالمی افغانستان","Hezb-e Islami Afghanistan","Islamic Party of Afghanistan","26","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1088-177",391,"Abdul Baqi Samandar","عبدالباقی سمندر","عبدالباقی سمندر","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1129-79",392,"Mohammad Aref","محمد عارف ","محمد عارف ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1127-182",393,"Mirzaman Haqyar","میرزمان حقیار ","میرزمان حقیار ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1489-13",394,"Haij Muzamel Hotak","حاجی مزمل هوتک","حاجی مزمل هوتک","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1281-67",395,"Homaira Chakari Yousufzai","حمیرا چکری یوسفزی","حمیرا چکری یوسفزی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1516-3044",396,"Qazi Mohammad Isshaq Farjad","قاضی محمد اسحاق فرجاد","قاضی محمد اسحاق فرجاد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1264-1041",397,"Anwar Khan Shamali","انور خان  شمالی","انور خان  شمالی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1586-88",398,"Noor Rahman Akhlaqi","نور الرحمن اخلاقی","نور الرحمن اخلاقی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1030-110",399,"Omid Watanyar","امید وطنیار","امید وطنیار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1212-140",400,"Hamidullah Stanikzai","حمید الله ستانکزی","حمید الله ستانکزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1630-1022",401,"Nazar Mohammad Isshaqzai","نظر محمد اسحاقزی","نظر محمد اسحاقزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1821-1064",402,"Tella Mohammad Atmanzai","طلا محمد اتمانزی","طلا محمد اتمانزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1847-3055",403,"Khoshhal Yari Ahmadzai","خوشحال یاری احمدزی","خوشحال یاری احمدزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1383-171",404,"Pashtana Arabzai","پښتنه عربزۍ","پښتنه عربزۍ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1202-58",405,"sayed Amanullah Amin","سید امان الله امین","سید امان الله امین","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1036-68",406,"Nawid Ahmad Kohi","نوید احمد کوهی","نوید احمد کوهی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1678-1161",407,"Ghullam Rabani Noori","غلام ربانی نوری ","غلام ربانی نوری ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1751-146",408,"Mohammad Ibrahim Zarif","محمد ابراهیم ظریف ","محمد ابراهیم ظریف ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1041-127",409,"Abdul Khaleq Hussaini","عبدالخالق حسینی","عبدالخالق حسینی","M","حزب پيوند ملي افغانستان",NA,NA,NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1624-214",410,"Dr. Abdul Ahad suhrabi","داکتر عبدالاحد سهرابی","داکتر عبدالاحد سهرابی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1492-23",411,"Mohammad Qasim Hakimi","محمد قسیم حکیمی ","محمد قسیم حکیمی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1884-148",412,"Dr. Friba Farhat Saifi","دوکتور فریبا فرحت  سیفی","دوکتور فریبا فرحت  سیفی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1257-12",413,"Haji Hamidullah Nawabi","حاجی حمید الله  نوابی ","حاجی حمید الله  نوابی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1374-1190",414,"Arefa Urfan","عارفه عرفان ","عارفه عرفان ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1575-175",415,"Mohammad Rafiq shirzad","محمد رفیق شیرزاد","محمد رفیق شیرزاد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1441-1090",416,"Abdul Rahman Khwazak","عبدالرحمن خوازک","عبدالرحمن خوازک","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1900-133",417,"Najibullah Mujahid","نجیب الله مجاهد","نجیب الله مجاهد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1057-1095",418,"Dawood Maleyar Mohaiuddin ","داود ملیار محی الدین ","داود ملیار محی الدین ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1583-50",419,"Mohammad Haidar Basir","محمد حیدر بصیر","محمد حیدر بصیر","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1192-180",420,"Dr. Maari Vida Safar","داکتر ماری ویدا صفر","داکتر ماری ویدا صفر","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1018-70",421,"Zergull Etefaaq Sahak","زیر ګل اتفاق سهاک","زیر ګل اتفاق سهاک","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1523-104",422,"Haji Abdullah Mulla Brother","حاجی  عبدالله ملا برادر","حاجی  عبدالله ملا برادر","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1453-98",423,"Malem Aziz Royesh","معلم عزیز رویش ","معلم عزیز رویش ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1694-138",424,"Mohammad Reza Zaki","محمد رضا ذکی ","محمد رضا ذکی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1727-135",425,"Faiz Mohammad Daqiq","فیض محمد دقیق","فیض محمد دقیق","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1829-158",426,"Khairullah Attaye","خیرالله عطائی","خیرالله عطائی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1730-182",427,"Dr. Masooma Muradi","داکتر معصومه مرادی","داکتر معصومه مرادی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1581-97",428,"Alhaj Qari Sayed Omar Hotak","الحاج قاری سید عمر هوتک","الحاج قاری سید عمر هوتک","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1487-209",429,"Saranwal Rohullah Sakhizad","څارنوال روح الله سخی زاد","څارنوال روح الله سخی زاد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1265-55",430,"Alhaj Qazi Mir Afghan Safi","الحاج قاضی میرافغان صافی ","الحاج قاضی میرافغان صافی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1392-27",431,"Khan Mohammad Khuram","خان محمد خرم","خان محمد خرم","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1185-51",432,"Haji Khan Mohammad Wardak","حاجی خان محمد وردگ","حاجی خان محمد وردگ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1461-174",433,"Mohammad Fahim Hashemi","محمد فهیم هاشمی","محمد فهیم هاشمی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1029-12",434,"Sayed Mujtaba Hashemi","سید مجتبی هاشمی","سید مجتبی هاشمی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1636-75",435,"Mansoor Ahmad Ahmadzai","منصور احمد احمدزی","منصور احمد احمدزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1660-49",436,"Hedayatullah Taheri","هدایت الله طاهری ","هدایت الله طاهری ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1616-1",437,"Mohammad Younis Hotak","محمد یونیس هوتک ","محمد یونیس هوتک ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1034-87",438,"Alhaj Khwaja Masoom Sediqi","الحاج خواجه معصوم صدیقی","الحاج خواجه معصوم صدیقی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1629-87",439,"Anisa Maqsoodi","انیسه مقصودی","انیسه مقصودی","F","حزب وحدت اسالمی افغانستان","Hezb-e Wahdat Islami Afghanistan","Islamic Unity Party of Afghanistan","5","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1295-207",440,"Dr. Tobi Azami","داکتر طوبی اعظمی ","داکتر طوبی اعظمی ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1474-220",441,"Khwaja Mohammad Musa Fariwar","خواجه محمد موسی فریور","خواجه محمد موسی فریور","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1013-119",442,"Eng. Zakia Wardak","انجنیر ذکیه وردک ","انجنیر ذکیه وردک ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1396-95",443,"Emal Mahmoodzada","ایمل محمود زاده ","ایمل محمود زاده ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1809-226",444,"Etebar Khan Zadran","اعتبار خان ځدران","اعتبار خان ځدران","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1666-40",445,"Mohammad Dawood Dawoodzai","محمد داود داودزی ","محمد داود داودزی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1675-186",446,"Mohammad Nayem Mustafa Hussainkhel","محمد نعیم مصطفی حسین خیل","محمد نعیم مصطفی حسین خیل","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1409-1030",447,"Sayed Jawid Andesh","سید جاوید اندیش","سید جاوید اندیش","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1324-1020",448,"Abdul Qayoum Naderi","عبدالقیوم نادری","عبدالقیوم نادری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1684-62",449,"Zaker Hussain Ershad","ذاکرحسین ارشاد","ذاکرحسین ارشاد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1579-62",450,"ghullam Mohammad Panjshiri","غلام محمد پنجشیری","غلام محمد پنجشیری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1606-15",451,"Dr. Ahmad Jawid Aalemi","داکتر احمد جاوید عالمی ","داکتر احمد جاوید عالمی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1827-177",452,"Alhaj Mirwais Katawazai","الحاج میرویس کتوازی","الحاج میرویس کتوازی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1078-11",453,"Mustafa Arian Tarakhel","مصطفی آرین تره خیل","مصطفی آرین تره خیل","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1333-55",454,"Abdul Hadi Naseri","عبدالهادی ناصری","عبدالهادی ناصری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1882-1077",455,"Tafsir seyahposh","تفسیر سیاه پوش","تفسیر سیاه پوش","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1197-1029",456,"Alhaj Ahmad Arsalan Safi","الحاج احمد ارسلان صافی","الحاج احمد ارسلان صافی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1742-3041",457,"Eng. Nasir Ahamd Saleh","انجینر نصیر احمد صالح","انجینر نصیر احمد صالح","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1638-148",458,"Ziaullhaq Shams","ضیاءالحق  شمس","ضیاءالحق  شمس","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1069-51",459,"Jalalduddin Mahmoodi","جلال الدین محمودی ","جلال الدین محمودی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1180-43",460,"Dr. Homa Zinat","داکترهما زینت","داکترهما زینت","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1303-53",461,"Samimullah sultani","صمیم الله سلطانی ","صمیم الله سلطانی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1273-91",462,"Mohammad Ajmal Hodman","محمد اجمل هوډ من ","محمد اجمل هوډ من ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1455-132",463,"Gen. Babrak Saber","جنرال ببرک صابر","جنرال ببرک صابر","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1886-173",464,"Yasamin Sarwari","یاسمین سروری","یاسمین سروری","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1226-98",465,"Qazi Ghullam Sakhi Iqbal","قاضی غلام سخی اقبال","قاضی غلام سخی اقبال","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1839-1177",466,"Eng. Hamid Rahman","انجنیر حمیدالرحمن ","انجنیر حمیدالرحمن ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1119-14",467,"Abdul Reza Khalili","عبدالرضا خلیلی","عبدالرضا خلیلی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1418-7",468,"Sayed Naser Mosawi","سید ناصر موسوی","سید ناصر موسوی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1164-56",469,"Mir Amanullah Guzar","میر امان الله گذر ","میر امان الله گذر ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES","Yes","Yes","Yes",2278941,NA,NA
"General","G-01","1-1215-103",470,"Abdul Bari Ramin Azimi","عبدالباری رامین عظیمی","عبدالباری رامین عظیمی","M","حزب جنبش ملی اسلامی افغانستان","Hezb-e Junbish-e Milli Islami Afghanistan","Nationalist Movement Party of Afghanistan","24","NO","NO",NA,NA,NA,NA,NA,NA
