"electorate","constituency_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","preliminary_winner","candidate_gender","party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number","past_winners","prelim_winner_2010","final_winner_2010","past_winners_matched_to_2010_codes","final_winner_2005","past_winners_matched_to_2005_codes"
"General","G-01","1-1030-110",399,"Omid Watanyar","امید وطنیار","امید وطنیار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1212-140",400,"Hamidullah Stanikzai","حمید الله ستانکزی","حمید الله ستانکزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1630-1022",401,"Nazar Mohammad Isshaqzai","نظر محمد اسحاقزی","نظر محمد اسحاقزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1821-1064",402,"Tella Mohammad Atmanzai","طلا محمد اتمانزی","طلا محمد اتمانزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1847-3055",403,"Khoshhal Yari Ahmadzai","خوشحال یاری احمدزی","خوشحال یاری احمدزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1383-171",404,"Pashtana Arabzai","پښتنه عربزۍ","پښتنه عربزۍ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1202-58",405,"sayed Amanullah Amin","سید امان الله امین","سید امان الله امین","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1036-68",406,"Nawid Ahmad Kohi","نوید احمد کوهی","نوید احمد کوهی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1678-1161",407,"Ghullam Rabani Noori","غلام ربانی نوری ","غلام ربانی نوری ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1751-146",408,"Mohammad Ibrahim Zarif","محمد ابراهیم ظریف ","محمد ابراهیم ظریف ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1041-127",409,"Abdul Khaleq Hussaini","عبدالخالق حسینی","عبدالخالق حسینی","NO","M","حزب پيوند ملي افغانستان",NA,NA,NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1624-214",410,"Dr. Abdul Ahad suhrabi","داکتر عبدالاحد سهرابی","داکتر عبدالاحد سهرابی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1492-23",411,"Mohammad Qasim Hakimi","محمد قسیم حکیمی ","محمد قسیم حکیمی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1884-148",412,"Dr. Friba Farhat Saifi","دوکتور فریبا فرحت  سیفی","دوکتور فریبا فرحت  سیفی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1257-12",413,"Haji Hamidullah Nawabi","حاجی حمید الله  نوابی ","حاجی حمید الله  نوابی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1374-1190",414,"Arefa Urfan","عارفه عرفان ","عارفه عرفان ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1575-175",415,"Mohammad Rafiq shirzad","محمد رفیق شیرزاد","محمد رفیق شیرزاد","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1441-1090",416,"Abdul Rahman Khwazak","عبدالرحمن خوازک","عبدالرحمن خوازک","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1900-133",417,"Najibullah Mujahid","نجیب الله مجاهد","نجیب الله مجاهد","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1057-1095",418,"Dawood Maleyar Mohaiuddin ","داود ملیار محی الدین ","داود ملیار محی الدین ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1583-50",419,"Mohammad Haidar Basir","محمد حیدر بصیر","محمد حیدر بصیر","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1192-180",420,"Dr. Maari Vida Safar","داکتر ماری ویدا صفر","داکتر ماری ویدا صفر","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1018-70",421,"Zergull Etefaaq Sahak","زیر ګل اتفاق سهاک","زیر ګل اتفاق سهاک","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1523-104",422,"Haji Abdullah Mulla Brother","حاجی  عبدالله ملا برادر","حاجی  عبدالله ملا برادر","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1453-98",423,"Malem Aziz Royesh","معلم عزیز رویش ","معلم عزیز رویش ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1694-138",424,"Mohammad Reza Zaki","محمد رضا ذکی ","محمد رضا ذکی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1727-135",425,"Faiz Mohammad Daqiq","فیض محمد دقیق","فیض محمد دقیق","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1829-158",426,"Khairullah Attaye","خیرالله عطائی","خیرالله عطائی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1730-182",427,"Dr. Masooma Muradi","داکتر معصومه مرادی","داکتر معصومه مرادی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1581-97",428,"Alhaj Qari Sayed Omar Hotak","الحاج قاری سید عمر هوتک","الحاج قاری سید عمر هوتک","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1487-209",429,"Saranwal Rohullah Sakhizad","څارنوال روح الله سخی زاد","څارنوال روح الله سخی زاد","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1265-55",430,"Alhaj Qazi Mir Afghan Safi","الحاج قاضی میرافغان صافی ","الحاج قاضی میرافغان صافی ","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1392-27",431,"Khan Mohammad Khuram","خان محمد خرم","خان محمد خرم","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1185-51",432,"Haji Khan Mohammad Wardak","حاجی خان محمد وردگ","حاجی خان محمد وردگ","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1461-174",433,"Mohammad Fahim Hashemi","محمد فهیم هاشمی","محمد فهیم هاشمی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1029-12",434,"Sayed Mujtaba Hashemi","سید مجتبی هاشمی","سید مجتبی هاشمی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1636-75",435,"Mansoor Ahmad Ahmadzai","منصور احمد احمدزی","منصور احمد احمدزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1660-49",436,"Hedayatullah Taheri","هدایت الله طاهری ","هدایت الله طاهری ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1616-1",437,"Mohammad Younis Hotak","محمد یونیس هوتک ","محمد یونیس هوتک ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1034-87",438,"Alhaj Khwaja Masoom Sediqi","الحاج خواجه معصوم صدیقی","الحاج خواجه معصوم صدیقی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1629-87",439,"Anisa Maqsoodi","انیسه مقصودی","انیسه مقصودی","NO","F","حزب وحدت اسالمی افغانستان","Hezb-e Wahdat Islami Afghanistan","Islamic Unity Party of Afghanistan","5",NA,NA,NA,NA,NA,NA
"General","G-01","1-1295-207",440,"Dr. Tobi Azami","داکتر طوبی اعظمی ","داکتر طوبی اعظمی ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1474-220",441,"Khwaja Mohammad Musa Fariwar","خواجه محمد موسی فریور","خواجه محمد موسی فریور","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1013-119",442,"Eng. Zakia Wardak","انجنیر ذکیه وردک ","انجنیر ذکیه وردک ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1396-95",443,"Emal Mahmoodzada","ایمل محمود زاده ","ایمل محمود زاده ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1809-226",444,"Etebar Khan Zadran","اعتبار خان ځدران","اعتبار خان ځدران","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1666-40",445,"Mohammad Dawood Dawoodzai","محمد داود داودزی ","محمد داود داودزی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1675-186",446,"Mohammad Nayem Mustafa Hussainkhel","محمد نعیم مصطفی حسین خیل","محمد نعیم مصطفی حسین خیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1409-1030",447,"Sayed Jawid Andesh","سید جاوید اندیش","سید جاوید اندیش","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1324-1020",448,"Abdul Qayoum Naderi","عبدالقیوم نادری","عبدالقیوم نادری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1684-62",449,"Zaker Hussain Ershad","ذاکرحسین ارشاد","ذاکرحسین ارشاد","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1579-62",450,"ghullam Mohammad Panjshiri","غلام محمد پنجشیری","غلام محمد پنجشیری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1606-15",451,"Dr. Ahmad Jawid Aalemi","داکتر احمد جاوید عالمی ","داکتر احمد جاوید عالمی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1827-177",452,"Alhaj Mirwais Katawazai","الحاج میرویس کتوازی","الحاج میرویس کتوازی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1078-11",453,"Mustafa Arian Tarakhel","مصطفی آرین تره خیل","مصطفی آرین تره خیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1333-55",454,"Abdul Hadi Naseri","عبدالهادی ناصری","عبدالهادی ناصری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1882-1077",455,"Tafsir seyahposh","تفسیر سیاه پوش","تفسیر سیاه پوش","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1197-1029",456,"Alhaj Ahmad Arsalan Safi","الحاج احمد ارسلان صافی","الحاج احمد ارسلان صافی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1742-3041",457,"Eng. Nasir Ahamd Saleh","انجینر نصیر احمد صالح","انجینر نصیر احمد صالح","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1638-148",458,"Ziaullhaq Shams","ضیاءالحق  شمس","ضیاءالحق  شمس","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1069-51",459,"Jalalduddin Mahmoodi","جلال الدین محمودی ","جلال الدین محمودی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1180-43",460,"Dr. Homa Zinat","داکترهما زینت","داکترهما زینت","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1303-53",461,"Samimullah sultani","صمیم الله سلطانی ","صمیم الله سلطانی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1273-91",462,"Mohammad Ajmal Hodman","محمد اجمل هوډ من ","محمد اجمل هوډ من ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1455-132",463,"Gen. Babrak Saber","جنرال ببرک صابر","جنرال ببرک صابر","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1886-173",464,"Yasamin Sarwari","یاسمین سروری","یاسمین سروری","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1226-98",465,"Qazi Ghullam Sakhi Iqbal","قاضی غلام سخی اقبال","قاضی غلام سخی اقبال","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1839-1177",466,"Eng. Hamid Rahman","انجنیر حمیدالرحمن ","انجنیر حمیدالرحمن ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1119-14",467,"Abdul Reza Khalili","عبدالرضا خلیلی","عبدالرضا خلیلی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1418-7",468,"Sayed Naser Mosawi","سید ناصر موسوی","سید ناصر موسوی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1164-56",469,"Mir Amanullah Guzar","میر امان الله گذر ","میر امان الله گذر ","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",2278941,NA,NA
"General","G-01","1-1215-103",470,"Abdul Bari Ramin Azimi","عبدالباری رامین عظیمی","عبدالباری رامین عظیمی","NO","M","حزب جنبش ملی اسلامی افغانستان","Hezb-e Junbish-e Milli Islami Afghanistan","Nationalist Movement Party of Afghanistan","24",NA,NA,NA,NA,NA,NA
"General","G-01","1-1157-1035",471,"Abdul Zohor Amiri","عبدالظهور امیری","عبدالظهور امیری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1208-114",472,"Deplom Eng. Noor Gull Mangal","دیپلوم انجنیر نورگل منگل","دیپلوم انجنیر نورگل منگل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1859-147",473,"Khwaja Khalilullah Sediqyar","خواجه خلیل الله صدیقیار","خواجه خلیل الله صدیقیار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1365-1108",474,"Abdul Khaibar Hotak","عبدالخبیر هوتک ","عبدالخبیر هوتک ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1444-12",475,"Haji Zergai Habibi","حاجی زړگی حبیبی","حاجی زړگی حبیبی","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1860-204",476,"Sayed Masood Ashna","سید مسعود آشنا ","سید مسعود آشنا ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1224-77",477,"Sofi Abdul Razeq Estalefi","صوفی عبدالرزاق استالفی","صوفی عبدالرزاق استالفی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1266-33",478,"Habibullah Hassam","حبیب الله حسام","حبیب الله حسام","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1269-2",479,"Farah Diba Shahzad","فرح دیبا شهرزاد","فرح دیبا شهرزاد","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1203-73",480,"Alhaj Abdul Sami Arefi","الحاج عبدالسمیع عارفی","الحاج عبدالسمیع عارفی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1361-122",481,"Mohammad Haroon Motaref","محمد هارون معترف","محمد هارون معترف","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1173-44",482,"Alhaj Shirshah Ahmadzai","الحاج شیر شاه احمدزی","الحاج شیر شاه احمدزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1235-71",483,"Dr. Mohebullah Moheb","دوکتور محب الله  محب","دوکتور محب الله  محب","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1176-45",484,"Urfanullah Urfan","عرفان الله عرفان","عرفان الله عرفان","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",4814212,"Yes","01-37-0032"
"General","G-01","1-1193-3067",485,"Malem Mohammad Ghazi sultanzoi","معلم محمد  غازی سلطان زوی","معلم محمد  غازی سلطان زوی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1227-5",486,"Simin Hassanzadah","سیمین حسن زاده","سیمین حسن زاده","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1868-162",487,"Mohammad Qasem Fekri","محمد قاسم فکری","محمد قاسم فکری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1608-44",488,"Ramesh Noori","رامش نوری","رامش نوری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1240-22",489,"Alhaj Gull Zaman Rohani","الحاج گل زمان  روحانی","الحاج گل زمان  روحانی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1812-2035",490,"Haji Qayoum Qambari","حاجی  قیوم  قمبر ی","حاجی  قیوم  قمبر ی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1774-142",491,"Temorshah Bashar","تیمورشاه بشار","تیمورشاه بشار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1658-90",492,"Qari Zabiullah Tarakhel","قاری ذبیح الله تره خیل","قاری ذبیح الله تره خیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1391-134",493,"Alhaj Mohammadullah Ahmadi Safi","الحاج محمدالله احمدی صافی","الحاج محمدالله احمدی صافی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1001-89",494,"Haji Shafiqullah Ghorbandi","حاجی شفیع الله غوربندی ","حاجی شفیع الله غوربندی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1543-58",495,"Haroon Shams Khan","هارون شمس خان","هارون شمس خان","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1120-4",496,"Ahmad Zaki Faqirzadah","احمد ذکی فقیر زاده ","احمد ذکی فقیر زاده ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1627-1",497,"Hedayatullah Sulaimankhel","هدایت الله سلیمان خیل","هدایت الله سلیمان خیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1290-46",498,"Babrak Haqyar","ببرک حقیار","ببرک حقیار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1706-90",499,"Frozan Khalilyar","فروزان خلیل یار ","فروزان خلیل یار ","NO","F","حزب جنبش ملی اسلامی افغانستان","Hezb-e Junbish-e Milli Islami Afghanistan","Nationalist Movement Party of Afghanistan","24",NA,NA,NA,NA,NA,NA
"General","G-01","1-1723-1204",500,"Hamasa Sadat","حماسه سادات ","حماسه سادات ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1075-61",501,"Alhaj Obaidullah Khoshiwal"," الحاج عبید الله خوشیوال"," الحاج عبید الله خوشیوال","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1386-1050",502,"Mohammad Yaser Emar","محمد یاسر عمار","محمد یاسر عمار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1286-48",503,"Alhaj Dr. Mohammad Sediq","الحاج دوکتور محمد صدیق ","الحاج دوکتور محمد صدیق ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1362-1094",504,"Mohammad Dawood Shadan","محمد داود شادان","محمد داود شادان","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1767-150",505,"Safiullah Sultani","صفی الله سلطانی","صفی الله سلطانی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1222-92",506,"Saheb Nazar Sangin","صاحب نظر سنگین ","صاحب نظر سنگین ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1603-74",507,"Sayed Rohullah Hussaini","سید روح الله حسینی ","سید روح الله حسینی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1753-105",508,"Mohammad Akram Azimi","محمد اکرم عظیمی","محمد اکرم عظیمی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1522-152",509,"Mohammad Taher Fedaye","محمد طاهر فدائی","محمد طاهر فدائی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1669-49",510,"Jalat Khan Shinwari","جلات خان شینوزاده","جلات خان شینوزاده","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1750-154",511,"Haji Noorullah Azizi Meyakhel","حاجی نورالله عزیزی میاخیل","حاجی نورالله عزیزی میاخیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1101-178",512,"Dr. Bayani Salimi","داکتر بیانی سلیمی","داکتر بیانی سلیمی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1042-1172",513,"Mohammad Asef Ashna","محمد آصف آشنا ","محمد آصف آشنا ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1768-205",514,"Tamana Zaryab Paryani","تمنا زریاب پریانی","تمنا زریاب پریانی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1093-76",515,"Kulsom","کلثوم","کلثوم","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1282-28",516,"Haji Abdul Hussain Hussainzadah","حاجی عبدالحسین حسین زاده ","حاجی عبدالحسین حسین زاده ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1709-190",517,"Gen. Lutfullah Mashal","جنرال لطف الله مشعل","جنرال لطف الله مشعل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1657-76",518,"Haji Hashem Mahdawi","حاجی هاشم مهدوی","حاجی هاشم مهدوی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1291-170",519,"Assadullah Zamir","اسدالله ضمیر ","اسدالله ضمیر ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1664-151",520,"Ramazan Jomazadah","رمضان جمعه زاده","رمضان جمعه زاده","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",6132861,NA,NA
"General","G-01","1-1498-1175",521,"Eng. Mawlagull Ahmadzai","انجنیر مولا گل احمدزی ","انجنیر مولا گل احمدزی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1532-10",522,"Zahra Yagana","زهرا یگانه","زهرا یگانه","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1309-5",523,"Masooma Tawasoli","معصومه توسلی","معصومه توسلی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1779-132",524,"Mohammad Bashir Farooq","محمد بشیر فاروق","محمد بشیر فاروق","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-102-1823-126",525,"Mohammad Nasir Tarakhel","محمد نصیر تره خیل","محمد نصیر تره خیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1448-107",526,"Abdullah Wejdan","عبدالله وجدان ","عبدالله وجدان ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1177-40",527,"Sayed Farhad Hashemi","سید فرهاد هاشمی","سید فرهاد هاشمی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
